Pri_Sub_Pos,Pri_Sub_Neu,Pri_Sub_Neg,Pri_Sub_Urg_Pos,Pri_Sub_Urg_Neu,Pri_Sub_Urg_Neg
None,None,None,None,None,None
None,None,None,None,None,None
6.00E-05,3.00E-05,0.00017,6.00E-05,0.00062,0.00032
5.00E-05,0.00045,0.00054,0.00044,0.00042,0.00069
9.00E-05,0.00033,0.00086,0.00013,0.00041,8.00E-05
0.00016,5.00E-05,4.00E-05,0.00051,0.0005,1.00E-04
9.00E-05,0.00076,0.00045,0.00047,0.00012,0.00012
0.00025,0.00035,0.00072,0.00046,0.00028,0.00022
0.00021,0.00044,0.00017,0.00064,4.00E-05,1.00E-04
7.00E-05,0.00013,0.00064,0.0002,9.00E-05,1.00E-05
7.00E-05,5.00E-05,0.00064,0.00041,0.00022,7.00E-05
4.00E-05,5.00E-05,0.00039,0.00056,0.00027,0.00024
6.00E-05,0.00025,0.00011,0,0.00013,5.00E-05
0.0002,1.00E-04,0.00078,1.00E-04,0.00014,0.00057
0.0006,6.00E-05,0.00223,0.0007,0.0002,0.00083
0.0004,0.00089,0.00077,0.00064,8.00E-05,5.00E-05
0.00029,0.00057,0.00177,0.00034,9.00E-05,0.00034
0.00033,0.00101,0.00076,None,5.00E-05,0.00085
5.00E-05,0.00014,None,None,0.00011,0.00016
0.00026,0.00021,None,None,9.00E-05,0.00046
0.00023,0.00051,None,None,1.00E-04,9.00E-05
0.00013,0.00031,None,None,0.00018,0.00074
0.00032,0.00029,None,None,0.0003,6.00E-05
0.00024,0.00016,None,None,0.00027,0.00031
5.00E-05,0.00058,None,None,0.00033,3.00E-05
8.00E-05,0.00041,None,None,0.00016,7.00E-05
0.00046,0.00027,None,None,0.00019,0.00014
0.00043,0.00067,None,None,0.00074,0.00015
0.00013,0.00092,None,None,0.00031,0.00018
5.00E-05,7.00E-05,None,None,0.00032,8.00E-05
0.00032,0.00028,None,None,0.0014,0.00031
0.00017,5.00E-05,None,None,0.00039,0.0002
0.00029,0.00027,None,0.00021,0.00033,0.00054
0.00047,1.00E-04,None,7.00E-05,0.00047,0.00058
0.00053,1.00E-04,None,1.00E-04,0.00011,0.00032
0.00051,0.00048,9.00E-05,0.00015,0.00011,0.00016
0.00026,0.00045,0.00021,0.00142,1.00E-05,0.00042
0.00019,1.00E-04,6.00E-05,0.00078,2.00E-05,0.00047
1.00E-05,None,4.00E-05,0.0004,0.00026,0.00053
0.0002,None,0.00039,0.0004,0.00014,4.00E-05
0.00021,None,0.00011,9.00E-05,0.0002,0.00025
0.00015,None,0.00043,0.00038,0.00059,0.00029
1.00E-04,None,0.00042,0.00037,0.00047,5.00E-05
0.00016,None,0.0005,0.00093,0.00018,0.00012
5.00E-05,None,6.00E-05,3.00E-05,0.00022,0.00011
0.00022,0.00044,5.00E-05,0.00016,0.00014,5.00E-05
0.00022,0.00019,0.00027,0.00016,0.00026,6.00E-05
0.00031,9.00E-05,0.00017,9.00E-05,0.00023,0.00032
0.00062,0,0.00025,9.00E-05,0.00014,0.00041
0.00046,6.00E-05,0.00059,0.00033,0.00021,0.00019
0.00037,0.00016,0.00074,0.00038,0.00038,0.0002
0.00052,0.00054,0.00014,0.0011,0.00047,0.00048
7.00E-05,9.00E-05,5.00E-05,0.00037,0.0003,0.00033
0.0002,0.00142,0.00016,0.00026,0.00047,0.00104
0.00059,9.00E-05,0.00053,6.00E-05,0.00034,0.00048
8.00E-05,0.00086,0.00037,0.00022,0.0002,0.00069
