SYMBOL,DATE_TIME,OPEN,HIGH,LOW,LAST,NUM_TRADES,BID,ASK,QUOTE_DATE,QUOTIM,QUOTEID
USD/JPY,"2018-11-21 17:44:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:44:00,6746708
USD/JPY,"2018-11-21 17:45:30",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:45:30,6746714
USD/JPY,"2018-11-21 17:46:06",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:46:06,6746720
USD/JPY,"2018-11-21 17:47:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:47:00,6746726
USD/JPY,"2018-11-21 17:48:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:48:00,6746732
USD/JPY,"2018-11-21 17:49:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:49:00,6746738
USD/JPY,"2018-11-21 17:50:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:50:00,6746744
USD/JPY,"2018-11-21 17:51:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:51:05,6746750
USD/JPY,"2018-11-21 17:52:08",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:52:08,6746756
USD/JPY,"2018-11-21 17:53:09",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:53:09,6746762
USD/JPY,"2018-11-21 17:54:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:54:00,6746769
USD/JPY,"2018-11-21 17:55:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:55:00,6746777
USD/JPY,"2018-11-21 17:56:01",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:56:01,6746783
USD/JPY,"2018-11-21 17:57:08",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:57:08,6746789
USD/JPY,"2018-11-21 17:58:07",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:58:07,6746795
USD/JPY,"2018-11-21 17:59:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:59:05,6746802
USD/JPY,"2018-11-21 18:01:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:01:00,6746809
USD/JPY,"2018-11-21 18:02:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:02:00,6746815
USD/JPY,"2018-11-21 18:03:07",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:03:07,6746821
USD/JPY,"2018-11-21 18:04:11",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:04:11,6746827
USD/JPY,"2018-11-21 18:06:04",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:06:04,6746833
USD/JPY,"2018-11-21 18:07:10",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:07:10,6746839
USD/JPY,"2018-11-21 18:08:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:08:00,6746845
USD/JPY,"2018-11-21 18:09:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:09:05,6746851
USD/JPY,"2018-11-21 18:10:32",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:10:32,6746857
USD/JPY,"2018-11-21 18:11:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:11:00,6746863
USD/JPY,"2018-11-21 18:12:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:12:05,6746869
USD/JPY,"2018-11-21 18:13:06",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:13:06,6746875
USD/JPY,"2018-11-21 18:14:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:14:00,6746882
USD/JPY,"2018-11-21 18:15:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:15:00,6746890
USD/JPY,"2018-11-21 18:16:07",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:16:07,6746896
USD/JPY,"2018-11-21 18:17:07",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:17:07,6746903
USD/JPY,"2018-11-21 18:18:07",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:18:07,6746909
USD/JPY,"2018-11-21 18:19:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:19:00,6746915
USD/JPY,"2018-11-21 18:22:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:22:00,6746921
USD/JPY,"2018-11-21 18:23:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:23:00,6746928
USD/JPY,"2018-11-21 18:24:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:24:00,6746934
USD/JPY,"2018-11-21 18:25:09",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:25:09,6746940
USD/JPY,"2018-11-21 18:26:07",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:26:07,6746946
USD/JPY,"2018-11-21 18:27:08",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:27:08,6746952
USD/JPY,"2018-11-21 18:28:09",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:28:09,6746959
USD/JPY,"2018-11-21 18:29:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:29:00,6746965
USD/JPY,"2018-11-21 18:30:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:30:00,6746971
USD/JPY,"2018-11-21 18:32:09",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:32:09,6746977
USD/JPY,"2018-11-21 18:33:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:33:00,6746983
USD/JPY,"2018-11-21 18:34:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:34:00,6746989
USD/JPY,"2018-11-21 18:35:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:35:00,6746995
USD/JPY,"2018-11-21 18:36:07",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:36:07,6747002
USD/JPY,"2018-11-21 18:37:04",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:37:04,6747009
USD/JPY,"2018-11-21 18:38:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:38:00,6747015
USD/JPY,"2018-11-21 18:39:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:39:00,6747022
USD/JPY,"2018-11-21 18:40:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:40:00,6747028
USD/JPY,"2018-11-21 18:41:08",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:41:08,6747034
USD/JPY,"2018-11-21 18:42:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:42:00,6747040
USD/JPY,"2018-11-21 18:43:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:43:00,6747047
USD/JPY,"2018-11-21 18:44:06",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:44:06,6747053
USD/JPY,"2018-11-21 18:45:23",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:45:23,6747059
USD/JPY,"2018-11-21 18:46:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:46:00,6747065
USD/JPY,"2018-11-21 18:47:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:47:00,6747072
USD/JPY,"2018-11-21 18:48:06",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:48:06,6747078
USD/JPY,"2018-11-21 18:49:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:49:05,6747085
USD/JPY,"2018-11-21 18:50:30",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:50:30,6747092
USD/JPY,"2018-11-21 18:52:06",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:52:06,6747098
USD/JPY,"2018-11-21 18:53:07",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:53:07,6747105
USD/JPY,"2018-11-21 18:54:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:54:00,6747111
USD/JPY,"2018-11-21 18:55:09",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:55:09,6747117
USD/JPY,"2018-11-21 18:56:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:56:00,6747123
USD/JPY,"2018-11-21 18:57:09",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:57:09,6747129
USD/JPY,"2018-11-21 18:58:08",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:58:08,6747135
USD/JPY,"2018-11-21 18:59:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,18:59:00,6747143
USD/JPY,"2018-11-21 19:01:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:01:00,6747149
USD/JPY,"2018-11-21 19:02:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:02:00,6747155
USD/JPY,"2018-11-21 19:03:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:03:00,6747161
USD/JPY,"2018-11-21 19:04:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:04:00,6747167
USD/JPY,"2018-11-21 19:05:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:05:00,6747173
USD/JPY,"2018-11-21 19:06:10",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:06:10,6747179
USD/JPY,"2018-11-21 19:07:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:07:00,6747185
USD/JPY,"2018-11-21 19:08:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:08:00,6747191
USD/JPY,"2018-11-21 19:09:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:09:00,6747197
